unerwünscht,undesirable
popeye,Popeye
smalltalk,small talk
inhumans,inhumans
hodge,hodge
niederlagen,defeats
latinum,Latinum
burrito,burrito
seelenverwandte,soulmates
hausfriedensbruch,trespassing
putsch,coup
serling,serling
tao,Tao
umarmungen,hugs
states,states
pavillon,pavilion
verirren,get lost
jährliche,annual
willig,willing
börsenaufsicht,stock exchange regulator
gut.,good.
yusuf,Yusuf
italienischer,Italian
beschuldige,accuse
angeschnallt,buckled up
sioux,Sioux
sägewerk,sawmill
bettina,Bettina
begrenzte,limited
zusammensein,be together
leibliche,physical
kommunistischen,communist
sabbat,Sabbath
späße,jokes
unterleib,lower abdomen
pfefferspray,pepper spray
gegenseitigkeit,reciprocity
jungchen,young boy
bestseller,bestseller
bereitest,prepare
parke,park
gaia,Gaia
gestatte,allow
schleich,sneak
unterbrich,interrupt
pfosten,post
gertrud,Gertrud
ekelig,disgusting
roge,roge
kolumbus,Columbus
wörtern,words
abgehackt,choppy
geschleudert,hurled
holocaust,holocaust
gebenedeit,blessed
kriegern,warriors
atwood,atwood
vereinigt,united
klimpern,strum
geeignete,suitable
unbewusst,unconsciously
wusch,wash
losen,solve
fluggesellschaft,airline
clair,clair
genen,genes
hera,Hera
einzuholen,to catch up
lebenserhaltung,life support
blaze,blaze
entsprechende,corresponding
bettelt,begs
amtszeit,term of office
schliesslich,finally
feierten,celebrated
monterey,Monterey
auswirken,impact
waschbären,raccoons
steward,steward
fei,free
jeanie,Jeanie
erhoffen,hope
iv.,iv.
wirtshaus,inn
zollen,pay
erdrosselt,strangled
elisa,Elisa
honolulu,Honolulu
dienten,served
dos,DOS
wohltätigkeit,charity
augenblicken,moments
schillinger,Schillinger
heide,pagan
schämte,was ashamed
geritzt,scratched
eisenhower,Eisenhower
mäusen,mice
sozialamt,social welfare office
krächzen,croak
clave,clave
arrangiere,arrange
weisse,white
verringert,reduced
klapsmühle,mental hospital
tosh,tosh
coffee,coffee
quarter,quarter
nachfahren,descendants
pferdes,horse
geschwiegen,remained silent
qui,qui
safari,safari
todmüde,dead tired
doktors,doctors
inbegriffen,included
vollzeit,full-time
saturn,Saturn
rafe,Rafe
bane,bane
berühr,touch
wegsperren,lock them away
janes,Janes
wachhund,guard dog
vorschule,preschool
horne,horne
angetrauten,married
heule,howl
gebettelt,begged
einwand,objection
woo,woo
argumentieren,argue
telefonierte,phoned
aroma,aroma
geller,Geller
zirpen,chirping
vorausgesagt,predicted
protestanten,Protestant
masern,measles
gardens,gardens
lion,lion
stichwunden,stab wounds
hiroshi,Hiroshi
erdbeere,strawberry
marshalls,Marshalls
beleidige,insult
schnattern,chatter
copperfield,copperfield
treibende,driving
bzw.,or
hämisch,malicious
moritz,Moritz
auszieht,moves out
glückseligkeit,bliss
mischst,mix
historischer,historical
schwedischen,Swedish
disqualifiziert,disqualified
managerin,manager
schlaflosigkeit,insomnia
anbeißen,bite
wöchentlich,weekly
anspricht,addresses
sharona,Sharona
tea,tea
doña,doña
außenteam,outside team
gieß,pour
flowers,flowers
kämpferin,fighter
zimmernummer,room number
castor,castor
chefarzt,chief physician
vakuum,vacuum
bret,bret
übernahmen,took over
abwechselnd,alternately
garnichts,nothing at all
fortan,from now on
säen,sow
bekleidet,clothed
geflüstert,whispered
gespött,mockery
drovers,drivers
metal,metal
geschädigt,damaged
memme,wimp
wrestling,wrestling
organische,organic
bens,Ben's
enid,enid
ozeans,oceans
vermessen,measure
abhängigkeit,dependency
steg,web
zuruck,back
nützlicher,useful
dörfern,villages
kaktus,cactus
abräumen,clear up
krummen,crooked
min.,min.
ruine,ruin
mähen,mowing
soho,soho
bolt,bolt
sprechanlage,intercom
einzuwenden,to object
verdrückt,suppressed
horoskop,horoscope
verspüre,feel
miauen,meow
irma,Irma
skateboard,skateboard
arterien,arteries
auffordern,request
olé,olé
birkhoff,Birkhoff
grollt,grumbles
freundlicherweise,kindly
erotische,erotic
intelligenten,intelligent
alaikum,Alaikum
costello,costello
kaputter,broken
purple,purple
erhob,raised
rar,rare
verbleib,remainder
begriffe,terms
elektromagnetische,electromagnetic
ausrutscher,slip-up
arg,awful
agenda,agenda
trennte,separated
vollkommene,perfect
englisches,English
forum,forum
hierzubleiben,stay here
zuleide,torment
quo,quo
letzen,last
aufkreuzt,shows up
ergründen,explore
zahnseide,dental floss
brände,fires
japanern,Japanese
ziffern,numbers
delfin,dolphin
mußten,had to
zwanziger,twenties
lockere,loose
komponiert,composed
ipad,iPad
linse,lens
eingesehen,viewed
stellvertretenden,deputy
wog,weighed
ferngesehen,watched TV
genaueres,more details
ehrwürdige,venerable
jang,jang
intellekt,intellect
gestrickt,knitted
nackter,naked
schmeichelt,flatters
smokey,Smokey
essenszeit,mealtime
verdeckten,concealed
another,another
schwartz,Schwartz
cannes,Cannes
bauarbeiten,construction work
irrsinnig,insane
gehindert,hindered
cid,cid
wexler,wexler
crassus,crassus
antikörper,antibody
stellungen,positions
living,living
unterliegt,is subject
entfallen,omitted
camden,Camden
nil,Nile
durchgestanden,survived
erlebten,experienced
langt,is enough
metallisches,metallic
gesandten,envoy
verwaltet,managed
rumzuhängen,hanging around
verbände,associations
pritchard,Pritchard
florian,Florian
stripclub,strip club
unterschätze,underestimate
bediensteten,servants
schöpft,draws
amour,love
regele,rule
lowry,lowry
zusammensetzung,composition
hintergedanken,ulterior motives
intellektuellen,intellectual
dekorieren,decorate
brandi,brandi
religiöser,religious
minderheit,minority
strong,strong
string,string
voraussetzung,requirement
ruthie,Ruthie
zoff,conflict
shore,shore
scheusal,monster
hinterlegt,stored
zusammengekommen,gathered
draufgegangen,died
mans,man
schnallt,buckles
teen,teen
gesichtserkennung,facial recognition
zeitreise,time travel
begründet,justified
gestreift,striped
rourke,rourke
ungewissheit,uncertainty
zurückzuhalten,to withhold
anwesende,present
harfe,harp
konzentrierst,concentrate
goldstücke,gold pieces
macker,mate
tappen,tap
rechtmäßige,lawful
durchzugehen,to go through
bräuchtest,you would need
doktoren,doctors
effektiver,effective
runtergekommen,run-down
herholen,get
violine,violin
künftige,future
fallt,falls
devereaux,devereaux
weitergemacht,continued
recep,recep
raja,Raja
fortgegangen,departed
hide,hide
gutheißen,approve
kriegsheld,war hero
ministerin,minister
vorwahl,phone prefix
eroberer,conqueror
verführung,seduction
wegschmeißen,throw away
s.t.a.r.,star.
oberkommando,high command
vereinbarten,agreed
verkackt,screwed up
hauptkommissar,chief inspector
zellenblock,cell block
füllte,filled
schlachter,butcher
nabelschnur,umbilical cord
kritische,critical
jing,jing
unschön,ugly
dauerhafte,permanent
nieten,rivets
ermessen,discretion
jesses,Jesus
titte,tit
auslaufen,expire
erbt,inherits
ohhh,ohhh
eingeschleust,infiltrated
wegnimmt,takes away
visite,visit
provokation,provocation
gören,children
spezieller,special
lieblinge,favorites
erwärmung,heating
waller,catfish
justizminister,Minister of Justice
sandalen,sandals
zurückgelegt,covered
hineinziehen,pull in
yves,yves
doppeltes,double
schmarotzer,parasitic
frida,Frida
massenhaft,masses
vorzutäuschen,to pretend
bohannon,bohannon
cochran,cochran
showgeschäft,show business
amandas,Amanda
fredrik,Fredrik
hochgeladen,uploaded
festessen,celebratory meal
gekürzt,shortened
vergnügungspark,amusement park
gestaltet,designed
hardison,Harrison
anstoß,kick-off
generatoren,generators
mobiltelefon,mobile phone
gustavo,Gustavo
eingewilligt,agreed
seeleute,sailors
sättigung,saturation
rütteln,shake
hinausgehen,go out
hiesige,local
ergib,yield
bösartige,malignant
bäng,bang
orpheus,Orpheus
aufzulösen,to resolve
verstärker,amplifier
umkleideraum,changing room
puzzles,puzzles
spießig,stuffy
sparrow,sparrow
großzügiger,generous
buchstabiert,spelled
infiltrieren,infiltrate
gaga,gaga
miterleben,witness
aufsichtsrat,supervisory board
salzwasser,saltwater
matheson,matheson
colleges,colleges
sana,sana
ralf,Ralf
schwärmen,rave
geleiten,escort
tach,tach
stehend,standing
schrotthaufen,scrap heap
schneien,snow
trikot,jersey
siehste,You see
gnädigste,most gracious
autogramme,autographs
herauszufordern,to challenge
feeling,feeling
suspendierung,suspension
lasten,loads
triebwerk,engine
sold,sold
bowen,Bowen
kidnapping,kidnapping
wartung,maintenance
endgültigen,final
maskierte,masked
faulpelz,lazybones
spaßen,jokes
gewässern,waters
katia,Katia
marisa,Marisa
bellheim,Bellheim
zusammengesetzt,composed
surfer,surfer
abzuwarten,to wait
geeigneten,suitable
vorhersehen,foresee
schwindet,diminishes
anschaue,look
kittchen,kitchen
einsturz,collapse
blöcke,blocks
verehre,revere
flo,flo
verbreitung,spread
eidechse,lizard
rays,rays
vertuschung,cover-up
wegkommt,comes away
vollziehen,perform
übergelaufen,defected
durchsickern,seep through
schädlich,harmful
benehme,behave
jeher,ever
vorwarnen,give advance warning
cheerleaderin,cheerleader
durchschnittliche,average
trager,carrier
flores,flowers
straftäter,offender
wußten,knew
amazonas,Amazon
gerichtsdiener,court officer
konkrete,specific
breiter,wider
mata,mata
zaubertrick,magic trick
arbeitslosigkeit,unemployment
weihwasser,holy water
krepiert,died
willenskraft,willpower
anrichtet,prepares
zahm,tame
bartlett,Bartlett
klebrig,sticky
rumfahren,driving around
abrechnen,bill
ausbluten,bleed out
records,records
vo,vo
wörtchen,little word
faber,Faber
nutzlose,useless
abnimmt,decreases
allererste,very first
langfristig,long-term
kessler,kessler
pipeline,pipeline
predigten,preached
prügelt,beats
taler,taler
thermometer,thermometer
gehaltsliste,payroll
feuerholz,firewood
vulkanische,volcanic
verrückteste,craziest
j.p.,j.p.
fruchtblase,amniotic sac
wehrlos,defenseless
nationalhymne,national anthem
mccabe,mccabe
durftest,were allowed
bindungen,bonds
quartal,quarter
kitchen,kitchen
leckerbissen,delicacy
beliebte,popular
guru,guru
rommel,Rommel
unabhängigen,independent
wirkliches,real
hassten,hated
wegräumen,put away
klinische,clinical
sees,sees
isles,Isles
merrick,Merrick
wimper,eyelash
moreau,moreau
minimal,minimal
heimatschutz,homeland protection
weiterlaufen,continue
partisanen,partisans
İbrahim,Ibrahim
bourne,bourne
mistvieh,cattle
lundy,Lundy
kalinda,Kalinda
zylon,Zylon
intellektuelle,intellectual
großzügiges,generous
riesenfehler,huge mistake
ulrich,Ulrich
pfote,paw
vornehme,distinguished
symbolisch,symbolic
berüchtigte,notorious
lutscht,sucks
reib,rub
divine,divine
rome,Rome
schlafend,asleep
mitnehme,I'll take with me
absaugen,suction
grundlegende,basic
untersuchungshaft,pre-trial detention
gesimst,texted
jacksons,Jacksons
scharfer,sharp
gemischte,mixed
nachgegeben,gave in
klassisches,classic
klapse,psychiatric ward
totenwache,wake
dreams,dreams
schliche,sneak
ausgespielt,played out
ungewiss,uncertain
feger,sweeper
äußeres,external
giuseppe,Giuseppe
hauptdarsteller,main actor
ungeduld,impatience
glatter,smooth
lieblich,lovely
redding,redding
chekov,Chekov
ausbreitet,spreads
eilmeldung,breaking news
menschenrechte,human rights
ausgerottet,eradicated
häppchen,appetizers
verrücktheit,madness
hinterhältige,treacherous
schwerhörig,hard of hearing
chemikalie,chemical
spieluhr,music box
übereinander,one above the other
empfehlungsschreiben,letter of recommendation
verzweifelter,desperate
malia,Malia
zeitig,early
gilligan,Gilligan
hingeben,surrender
abhaust,flees
rechtliche,legal
spaziergänge,walks
färbt,dyes
statistisch,statistical
schleimer,slime
aufzubrechen,to depart
lederjacke,leather jacket
mittagszeit,midday
zerotollerance,zero tolerance
lautstärke,volume
ermüdend,tiring
gratuliert,congratulations
windpocken,chickenpox
sternschnuppe,shooting star
bigfoot,bigfoot
chateau,chateau
postfach,mailbox
verfällt,expires
schaltete,switched
schleuse,sluice
glatte,smoothness
kommende,upcoming
lavinia,lavinia
ehrenwerten,honorable
joffrey,Joffrey
feds,feds
hildy,Hildy
millers,millers
id,id
prozesse,processes
abc,ABC
geschüttet,poured
köstliche,delicious
benötigte,required
staten,states
späteren,later
plattenspieler,record player
wiederzufinden,to find again
tripper,gonorrhea
bedeutenden,significant
staatssekretär,state secretary
übrige,rest
demenz,dementia
wartezeit,waiting time
namensschild,name tag
psychose,psychosis
lallt,slur
flemming,Flemming
verschlimmern,worsen
kruste,crust
blutproben,blood samples
guerrero,Guerrero
blinker,blinker
alk,alcohol
diesjährigen,this year
verliebst,in love
jemen,Yemen
propeller,propeller
abzusagen,to cancel
spendiere,spend
flachen,flat
begutachten,assess
empor,up
santino,santino
garza,garza
bescheidener,modest
stützt,supports
lebensmittelvergiftung,food poisoning
kanadischen,Canadian
orient,Orient
vizepräsidentin,vice president
netze,networks
hierbehalten,Keep here
unterbesetzt,understaffed
fleisches,meat
riskierte,risked
ehemals,formerly
anzuschreien,to shout
schiene,rail
vogue,vogue
auseinandernehmen,take apart
cruise,cruise
merry,merry
selena,Selena
einzuziehen,to move in
trompetet,trumpet
schießereien,shootings
una,una
victory,victory
balg,bellows
zeigefinger,index finger
unterstehen,are subject
waffel,waffle
panikattacke,panic attack
eingeäschert,cremated
kampflos,without a fight
genfer,Geneva
kato,kato
forensische,forensic
unzerstörbar,indestructible
miterlebt,witnessed
kinderheim,orphanage
tyrell,tyrell
bethlehem,Bethlehem
schutzlos,defenseless
technisches,technical
tendenz,trend
siehts,looks
fürchteten,feared
uhura,uhura
entschloss,decided
beruflichen,professional
muttertag,Mother's Day
orgelmusik,organ music
aktionäre,shareholders
arthurs,Arthur
ausgewichen,avoided
adebisi,adebisi
gotta,gotta
minenfeld,minefield
gewählte,selected
kilogramm,kilogram
paragraph,paragraph
irrational,irrational
schulabschluss,school leaving certificate
eureka,eureka
ergaben,resulted
ziggy,ziggy
sylar,sylar
festgebunden,tied up
gul,gul
zügig,quickly
hochverrats,high treason
schwebte,hovered
seilen,ropes
strip,strip
brokkoli,broccoli
ozzie,ozzie
salzig,salty
foyer,foyer
feierst,celebrate
italienisches,Italian
veränderten,changed
sippe,clan
unauffindbar,untraceable
knappen,scarce
abblitzen,rebuff
ähh,uhh
brautpaar,bride and groom
veteran,veteran
eskaliert,escalated
unterredung,conversation
zurückzugewinnen,to recover
nagellack,nail polish
burn,burn
zehnte,tenth
colton,Colton
straftaten,crimes
sies,she
majid,Majid
caputo,caputo
krempel,junk
inga,Inga
solls,should
lelouch,lelouch
intensive,intensive
wischt,wipes
frischfleisch,fresh meat
digger,digger
proteine,proteins
storch,stork
sternzeichen,zodiac sign
terrorisiert,terrorized
marthe,marthe
bridges,bridges
elsie,Elsie
ruiz,ruiz
klarem,clear
kugelsicher,bulletproof
klassenkameraden,classmates
manson,manson
c4,c4
vorschau,preview
verbrennst,burn
zusammentreffen,meet
türmen,pile up
dampfen,vaping
beschmutzen,soil
risa,risa
signiert,signed
umzusetzen,to implement
podium,podium
clovis,clovis
margaux,margaux
äußerste,outermost
zurückzulassen,to leave behind
verändere,change
ergebnissen,results
langweiliges,boring
goethe,Goethe
weii,white
unternimm,undertake
überrannt,overrun
hysterie,hysteria
abspielt,plays
without,without
klau,steal
menschenseele,human soul
bewegend,moving
konsequenz,consequence
aufgeregtes,excited
sicherungen,fuses
nichtsdestotrotz,nevertheless
tig,tig
inventar,inventory
wegweiser,signpost
zutrauen,confidence
sinnvolles,meaningful
verborgene,hidden
wissenschaftlern,scientists
einzuschlafen,to fall asleep
kareem,kareem
kommentieren,comment
inkompetent,incompetent
tätowieren,tattoo
tigers,tigers
mets,mets
träge,sluggish
leiblichen,physical
anmache,pickup
bedürfnissen,needs
tätowierungen,tattoos
reifer,mature
königlich,royal
zwinkern,wink
fußballspiel,football match
hamid,hamid
laub,leaves
dix,ten
reeves,reeves
flipp,flipp
auguste,August
zivilisierte,civilized
robe,robe
betrugs,fraud
erhöhung,increase
verbundenen,associated
far,far
clément,Clément
boutique,boutique
verlogene,deceitful
eintrittskarte,admission ticket
braxton,Braxton
verfüge,have
mordopfer,murder victims
lombard,Lombard
asa,asa
verspeist,eaten
grösste,largest
quecksilber,mercury
anzustellen,to hire
hocherfreut,delighted
pancakes,pancakes
duett,duet
jüngerer,younger
aufzusuchen,to visit
digitalen,digital
flöten,flutes
marla,Marla
besetzten,occupied
hungrige,hungry
rach,rach
prominente,prominent
aldo,aldo
eingelöst,redeemed
hitchcock,Hitchcock
namaste,Namaste
rousseau,Rousseau
organismen,organisms
j.b.,j.b.
sonnenbrand,sunburn
ermittle,investigate
kingsley,Kingsley
brite,brite
sozialversicherungsnummer,social security number
gasthof,inn
brenzlig,precarious
batista,Batista
ruiniere,ruin
spritz,spray
nunmehr,now
gerichtsverfahren,court proceedings
empfing,received
absurde,absurd
liebesbrief,love letter
mycroft,mycroft
schäfchen,sheep
gelobe,vow
unterdrückten,suppressed
maßen,measures
geschlechts,gender
tribüne,grandstand
verzerrte,distorted
kiosk,kiosk
root,root
energisch,energetic
geplagt,plagued
row,row
korrigiere,correct
magneten,magnets
kriegten,got
abrupt,abrupt
gewaltiges,enormous
brewer,brewer
radioaktivität,radioactivity
verordnung,regulation
waldemar,Waldemar
chick,chic
südwesten,southwest
beraterin,consultant
vermögens,assets
münztelefon,payphone
guthrie,Guthrie
maklerin,real estate agent
verwandelst,transform
weller,weller
sato,sato
gekettet,chained
lam,lam
inkompetenz,incompetence
entflohen,escaped
angewandt,applied
bern,Bern
ausgewiesen,designated
aviv,aviv
glüht,glows
flüchtete,fled
wachdienst,security service
schießstand,shooting range
gedärme,intestines
kreativen,creative
leia,Leia
schüttel,shake
hecke,hedge
maxim,maxim
londo,London
weinberg,vineyard
fitness,fitness
aschenputtel,Cinderella
nichtig,void
sprengkopf,warhead
sensibler,sensitive
referat,presentation
abhacken,chop it up
blutkörperchen,blood cells
fortpflanzung,reproduction
casinos,casinos
nnen,nnen
verhörraum,interrogation room
beziehungsweise,or
bobbys,Bobby's
sonnig,sunny
bali,Bali
rückfahrt,return journey
schlosses,lock
durchlebt,experienced
harker,rake
schlafengehen,going to sleep
whitehall,whitehall
gebrochenem,broken
pond,pond
muh,moo
aktivierung,activation
wettstreit,competition
ausgearbeitet,elaborated
weather,weather
vorankommen,progress
deadline,deadline
vorfinden,find
cornelia,Cornelia
reinhauen,Go for it!
verlegung,laying
wahrsagerin,fortune teller
gwendolyn,Gwendolyn
unartig,naughty
geburtsort,place of birth
sofortigen,immediate
schwätzer,chatterbox
leader,leader
königen,queens
wüßte,I would know
alleingang,solo
phänomenal,phenomenal
keeler,keeler
ti,ti
krankenakte,medical record
dobey,dobey
swift,swift
45er,45
rätseln,puzzle
gewinnerin,winner
schmiede,wrought
seal,seal
gerutscht,slipped
systematisch,systematic
absteige,descend
nachzuholen,to catch up
xiao,xiao
lexington,Lexington
witzfigur,comic figure
einschläfern,euthanize
erörtern,discuss
bloßgestellt,exposed
schweinestall,pigsty
versteigert,auctioned
tampa,Tampa
maßstab,scale
verstorbener,deceased
belegschaft,workforce
finley,finley
argo,argo
sunnydale,Sunnydale
grässliche,gruesome
scharade,charade
carr,carr
abzuschneiden,to cut
runtergeholt,brought down
körpertemperatur,body temperature
konzentrierte,concentrated
leif,leif
drenton,Drenton
privatbesitz,private property
totem,totem
untertreibung,understatement
dazugehört,belongs
abzüge,deductions
schusswunden,gunshot wounds
durchgeknallte,crazy
lungenkrebs,lung cancer
apartments,apartments
leim,glue
beiträge,contributions
gefälligkeit,A favor
bärchen,bear
versetzte,staggered
rohe,raw
aufsteht,gets up
mesa,mesa
regenmantel,raincoat
vorkommnisse,incidents
jazzmusik,jazz music
arrangierte,arranged
vader,Vader
anzügen,suits
charmanten,charming
apostel,apostle
unendlichkeit,infinity
geldgeber,lender
biologischer,biological
kelvin,Kelvin
synagoge,synagogue
shadowhunter,shadowhunter
stringer,stringer
blendet,dazzling
entzündung,inflammation
erforschung,exploration
berüchtigten,infamous
cousinen,cousins
konzerne,corporations
untertasse,saucer
schnitzel,schnitzel
fehlgeschlagen,failed
erkaufen,buy
gangstern,gangsters
briareos,briareos
hundesohn,son of a bitch
dableiben,stay
ml,ml
hierauf,here
reichs,Reich
kinderleicht,child's play
atom,atom
bewunderte,admired
bedrängen,pressure
unerwarteten,unexpected
dickschädel,thick-headed
gesuchte,sought
ventura,ventura
hahaha,hahaha
baumarkt,hardware store
blindheit,blindness
melonen,melons
herald,herald
aggressiver,aggressive
gebohrt,drilled
heiligtum,sanctuary
samariter,Samaritan
yay,yay
eingeht,enters
unantastbar,inviolable
wiederkommst,come back
hallt,echoes
bra,bra
schwungvolle,dynamic
candice,Candice
almeida,almeida
pantoffeln,slippers
frazier,Frazier
handgelenke,wrists
verschweigt,conceals
short,short
gerate,devices
dramatischer,dramatic
frodo,Frodo
jüngling,youth
snart,snart
vorstrafenregister,criminal record
geschäftsfrau,businesswoman
schufte,toil
stalingrad,Stalingrad
rissen,tore
metatron,Metatron
bekanntes,well-known
überredete,persuaded
freimachen,free
verona,Verona
durchzukommen,to get through
zahnstocher,toothpick
under,under
doppel,double
madge,madge
swing,swing
abgebissen,bitten off
stadtteil,district
gifte,poisons
ichabod,ichabod
betonung,emphasis
dringenden,urgent
volkoff,Volkoff
sporthalle,sports hall
sos,SOS
übernehmt,take over
kopierer,copier
meinungsverschiedenheit,disagreement
baumeln,dangle
aufgeschnappt,overheard
unterzeichne,sign
betätigen,activate
erklärten,explained
übernachte,overnight
wendepunkt,turning point
kenner,connoisseur
eskortieren,escort
angefreundet,befriended
medizinstudium,medical studies
halbschwester,half-sister
praktiziert,practiced
phantombild,phantom image
funktionsfähig,functional
katakomben,catacombs
klügsten,smartest
tänze,dances
nutzung,use
arbeitszeiten,working hours
kanbei,kanbei
nationaler,national
klan,clan
anordnen,order
rechtfertigung,justification
frühestens,at earliest
gelangte,reached
wertvollste,most valuable
sachs,Sachs
gerüche,smells
takes,takes
großmeister,grandmaster
arsen,arsenic
mordversuch,Attempted murder
unfruchtbar,barren
donnert,thunders
symptomen,symptoms
effizienter,more efficient
humbert,humbert
vonda,from there
aufmachst,open
versinkt,sinks
morgige,tomorrow
energien,energies
tönen,tones
impotent,impotent
polizeisirenen,police sirens
quill,quill
mordfälle,murders
houdini,Houdini
kulisse,backdrop
mundharmonika,harmonica
maschinengewehre,machine guns
zauberkraft,magic power
anbeginn,beginning
verfangen,entangle
borden,border
symbionten,symbionts
gedämpfte,subdued
blutzucker,blood sugar
mcnulty,mcnulty
bräuche,needs
sonnenfinsternis,solar eclipse
vergessenheit,oblivion
margaritas,margaritas
mordnacht,murder night
patenonkel,godfather
vergeudest,you waste
skynet,skynet
dienstlich,official
gerd,Gerd
strippen,strip
ägyptische,Egyptian
motte,moth
fragezeichen,question mark
rennstrecke,race track
ellison,Ellison
invisible,invisible
perseus,Perseus
kolonisten,colonists
autofahrer,driver
bahre,stretcher
grossmutter,grandmother
möglichstes,possible
vorzugehen,to proceed
gewandert,hiked
luxemburg,Luxembourg
rausgeschnitten,cut out
celine,Celine
zugetragen,reported
klemmen,clamp
schrien,screamed
waffensysteme,weapon systems
schar,char
emails,emails
jean-pierre,Jean-Pierre
leidenschaften,passions
sketch,sketch
hoshi,hoshi
samuels,Samuel's
rolex,Rolex
windelweich,diaper-soft
zuwenden,turn
herankommen,approach
sgc,sgc
bestatter,undertaker
relais,relay
cardiff,Cardiff
schlingel,rascal
meckert,complains
schlauen,clever
flüche,curses
annäherung,approach
ausverkauf,sale
morrow,morrow
rings,rings
anatomy,anatomy
christoph,Christoph
respektierst,do you respect
ruinierte,ruined
wohlfahrt,welfare
frenchy,frenchy
mädchenname,girl's name
umtauschen,exchange 
dichtmachen,seal
jegliches,any
ramses,Ramses
abscheulichen,abhorrent
raubtiere,predators
newport,newport
ladenbesitzer,shop owner
umzukehren,to reverse
tieres,animals
tumult,tumult
eintausend,one thousand
sterbende,dying
verloben,get engaged
belagert,besieged
entfalten,unfold
zehntel,tenth
druiden,druids
begehre,desire
gelauscht,eavesdropped
bu,bu
arc,arc
sensor,sensor
romain,Romain
emilia,Emilia
wide,wide
inszenieren,stage
akzeptierte,accepted
clancy,clancy
geldwäsche,money laundering
wertsachen,valuables
japsen,gasp
ausreißer,outlier
vorgeladen,summoned
emmas,Emma's
anarchy,anarchy
staatsgefängnis,state prison
casablanca,Casablanca
ca,approx
bestimmst,you decide
fäusten,fists
erloschen,extinguished
einchecken,check in
jaye,Jaye
übeltäter,perpetrators
verteilung,distribution
waverly,waverly
aufrichtiges,sincere
komponenten,components
lesung,reading
diggle,diggle
raines,raines
dempsey,dempsey
swann,Swann
aufzuwachsen,growing up
jr.,jr.
feuerball,fireball
autopilot,autopilot
barnum,barnum
überlistet,outsmarted
verdienste,merits
verstörend,disturbing
schaltkreise,circuits
rhode,rhode
straight,straight
heißesten,hottest
pünktlichkeit,punctuality
dynamik,dynamics
schlafsaal,dormitory
verweht,blown away
knochenmark,bone marrow
dokumentieren,document
enttäuschst,disappointed
hub,hub
häusliche,domestic
ködern,bait
flugzeugs,aircraft
sub,sub
unterirdisch,underground
elvira,Elvira
genagelt,nailed
universal,universal
egoist,egoist
preisgeld,prize money
gelehrten,scholars
definiere,define
unerlaubt,unauthorized
ausgetrunken,drunk up
dresden,Dresden
a.j.,a.j.
absperren,lock up
gia,gia
fliegender,flying
valencia,Valencia
lahmen,paralyze
absicherung,security
oftmals,often
pfiffe,whistles
gekniffen,pinched
ballard,ballard
orchideen,orchids
chino,chino
rausgeben,release
early,early
engländerin,Englishwoman
rausgebracht,released
triaden,triads
dingsbums,thingamajig
lebendiges,living
begreif,understand
gründliche,thorough
schrumpfen,shrink
juliana,Juliana
königlicher,royal
dooley,dooley
ausreißen,tear out
sterblicher,mortal
reifenspuren,tire tracks
grille,grill
frierst,You're freezing
barksdale,Barksdale
potts,potts
edelsteine,gemstones
opie,opia
sturer,stubborn
nordamerika,North America
gründung,foundation
fake,fake
bombenleger,bomber
nordosten,northeast
riverside,riverside
sonnencreme,sunscreen
besichtigung,sightseeing
stillgelegt,decommissioned
bora,Bora
zahlreichen,numerous
cleopatra,Cleopatra
opferte,sacrificed
erlass,decree
watt,watt
verlernt,forgotten
schubst,pushes
lampenfieber,stage fright
atf,atf
untersteht,is subject
deutliche,clear
kleidet,clothes
beträchtliche,considerable
reibungslos,Smoothly
fliesen,tiles
pelzmantel,fur coat
shot,shot
codewort,codeword
brenn,burn
mats,mats
eintraf,arrived
vale,vale
gulden,gulden
tollsten,greatest
grundsatz,principle
prärie,prairie
passagieren,passengers
dehydriert,dehydrated
giftigen,toxic
dna-test,DNA test
allerlei,all sorts
blonder,blond
heizen,heat
panische,panic
flipper,pinball
mumbai,Mumbai
verhandle,negotiate
liebesbriefe,love letters
abscheu,disgust
crewe,crewe
transaktionen,transactions
sorgfalt,care
einzurichten,to set up
verkünde,announce
ausübung,exercise
hungrigen,hungry
else,else
kanadische,Canadian
betrachtete,considered
ausbringen,apply
dornen,thorns
mcnally,mcnally
zahnspange,braces
trainierte,trained
khalid,Khalid
sieges,victory
mathis,mathis
einfiel,I thought
stünden,would be
ignorant,ignorant
bewache,guard
col.,col.
wiley,Wiley
sancho,sancho
paten,godparents
furzt,farts
doofen,stupid
rupien,rupees
heimkommt,comes home
getaucht,submerged
probierst,try
ehesten,most likely
beeindruckender,impressive
sozialhilfe,social assistance
phönix,Phoenix
injizieren,inject
crunch,crunch
absprache,agreement
unzähligen,countless
verschlüsselung,encryption
camping,camping
tratschen,gossip
hereingekommen,come in
asiatischen,Asian
spann,tension
stoßstange,bumper
gesellschaftliche,social
freiheitsstatue,Statue of Liberty
lehnst,lean
dolls,dolls
trinkspruch,drinking toast
lamb,lamb
schläuche,hoses
bemerke,note
importiert,imported
tauschte,exchanged
totenschein,death certificate
gähnt,yawns
analysen,analyses
gelenkt,guided
sperrgebiet,restricted area
chrissy,Chrissy
dancer,dancer
christin,Christine
codename,codename
shapiro,shapiro
kürzeren,shorter
expandieren,expand
hingekommen,arrived
leichtigkeit,ease
täters,perpetrators
delaware,Delaware
